ID,Score
01000001,Toán:   8.40   Ngữ văn:   8.50   Lịch sử:   6.75   Địa lí:   6.00   GDCD:   9.00   KHXH: 7.25   Tiếng Anh:   9.20   
01000002,Toán:   7.20   Ngữ văn:   8.50   Lịch sử:   8.75   Địa lí:   6.50   GDCD:   8.50   KHXH: 7.92   Tiếng Anh:   9.20   
01000003,Ngữ văn:   6.50   Lịch sử:   9.25   Địa lí:   7.50   
01000004,Toán:   7.80   Ngữ văn:   8.25   Lịch sử:   4.50   Địa lí:   6.25   GDCD:   8.25   KHXH: 6.33   Tiếng Anh:   7.80   
01000005,Toán:   7.20   Ngữ văn:   8.00   Lịch sử:   4.75   Địa lí:   6.75   GDCD:   8.25   KHXH: 6.58   Tiếng Anh:   7.80   
01000006,Toán:   7.60   Ngữ văn:   9.25   Lịch sử:   8.50   Địa lí:   7.25   GDCD:   9.75   KHXH: 8.5   Tiếng Anh:   9.00   
01000007,Toán:   5.60   Ngữ văn:   7.00   Lịch sử:   4.75   Địa lí:   5.75   GDCD:   8.00   KHXH: 6.17   Tiếng Anh:   6.40   
01000008,Toán:   7.20   Ngữ văn:   7.50   Vật lí:   5.00   Hóa học:   3.50   Sinh học:   1.75   KHTN: 3.42   Tiếng Anh:   6.00   
01000009,Toán:   7.60   Ngữ văn:   8.25   Lịch sử:   6.50   Địa lí:   7.25   GDCD:   9.50   KHXH: 7.75   Tiếng Anh:   9.00   
01000010,Toán:   8.20   Ngữ văn:   9.50   Lịch sử:   7.25   Địa lí:   6.50   GDCD:   8.75   KHXH: 7.5   Tiếng Anh:   7.00   
01000011,Toán:   5.60   Ngữ văn:   7.00   Vật lí:   5.75   Hóa học:   3.50   Sinh học:   4.50   KHTN: 4.58   Tiếng Anh:   8.40   
01000012,Toán:   7.20   Ngữ văn:   8.50   Lịch sử:   8.00   Địa lí:   7.75   GDCD:   8.25   KHXH: 8   Tiếng Anh:   8.40   
01000013,Toán:   7.40   Ngữ văn:   5.75   Vật lí:   8.00   Hóa học:   3.75   Sinh học:   5.75   KHTN: 5.83   Tiếng Anh:   8.00   
01000014,Toán:   7.00   Ngữ văn:   4.50   Lịch sử:   4.25   Địa lí:   6.50   GDCD:   8.25   KHXH: 6.33   
01000015,Toán:   8.20   Ngữ văn:   8.50   Vật lí:   5.75   Hóa học:   7.50   Sinh học:   7.75   KHTN: 7   Tiếng Anh:   9.20   
01000016,Toán:   8.20   Ngữ văn:   8.75   Lịch sử:   6.50   Địa lí:   6.25   GDCD:   9.50   KHXH: 7.42   Tiếng Anh:   8.40   
01000017,Toán:   7.40   Ngữ văn:   7.75   Vật lí:   3.00   Hóa học:   6.50   Sinh học:   6.75   KHTN: 5.42   Tiếng Anh:   6.60   
01000018,Ngữ văn:   7.00   Lịch sử:   7.50   Địa lí:   7.25   Tiếng Anh:   2.80   
01000019,Toán:   8.40   Ngữ văn:   9.00   Lịch sử:   8.25   Địa lí:   7.25   GDCD:   8.50   KHXH: 8   Tiếng Anh:   9.40   
01000020,Toán:   8.20   Ngữ văn:   8.75   Lịch sử:   8.75   Địa lí:   9.00   GDCD:   9.75   KHXH: 9.17   Tiếng Anh:   7.20   
01000021,Toán:   8.20   Ngữ văn:   8.25   Lịch sử:   5.75   Địa lí:   6.50   GDCD:   8.25   KHXH: 6.83   Tiếng Anh:   7.80   
01000022,Toán:   8.00   Ngữ văn:   9.25   Lịch sử:   6.50   Địa lí:   6.50   GDCD:   9.25   KHXH: 7.42   Tiếng Anh:   9.00   
01000023,Toán:   8.60   Ngữ văn:   8.50   Lịch sử:   8.75   Địa lí:   7.50   GDCD:   8.75   KHXH: 8.33   Tiếng Anh:   9.80   
01000024,Toán:   8.20   Ngữ văn:   9.00   Lịch sử:   8.75   Địa lí:   7.25   GDCD:   9.25   KHXH: 8.42   Tiếng Anh:   9.60   
01000025,Toán:   6.60   Ngữ văn:   8.25   Lịch sử:   6.25   Địa lí:   6.50   GDCD:   8.25   KHXH: 7   Tiếng Anh:   8.00   
01000026,Toán:   7.40   Ngữ văn:   9.00   Lịch sử:   5.25   Địa lí:   6.00   GDCD:   8.50   KHXH: 6.58   Tiếng Anh:   8.80   
01000027,Toán:   8.00   Ngữ văn:   8.00   Vật lí:   5.00   Hóa học:   8.00   Sinh học:   8.00   KHTN: 7   Tiếng Anh:   9.20   
01000028,Toán:   8.20   Ngữ văn:   9.00   Lịch sử:   6.25   Địa lí:   7.75   GDCD:   9.25   KHXH: 7.75   Tiếng Anh:   9.60   
01000029,Toán:   2.80   Ngữ văn:   6.75   Lịch sử:   5.25   Địa lí:   5.75   
01000030,Toán:   7.20   Ngữ văn:   8.75   Lịch sử:   8.00   Địa lí:   5.75   GDCD:   9.00   KHXH: 7.58   Tiếng Anh:   8.60   
01000031,Toán:   5.00   Ngữ văn:   6.50   Vật lí:   5.50   Hóa học:   5.25   Sinh học:   4.75   KHTN: 5.17   Tiếng Nhật:   3.20   
01000032,Toán:   8.20   Ngữ văn:   6.25   Vật lí:   8.25   Hóa học:   7.75   Sinh học:   6.25   KHTN: 7.42   Tiếng Anh:   5.40   
01000033,Toán:   7.20   Ngữ văn:   8.00   Lịch sử:   5.00   Địa lí:   5.25   GDCD:   7.00   KHXH: 5.75   Tiếng Anh:   9.00   
01000034,Toán:   7.60   Ngữ văn:   9.00   Lịch sử:   7.00   Địa lí:   6.50   GDCD:   8.50   KHXH: 7.33   Tiếng Anh:   6.60   
01000035,Toán:   5.00   Ngữ văn:   3.50   Lịch sử:   4.50   Địa lí:   5.50   
01000036,Toán:   7.80   Ngữ văn:   7.75   Vật lí:   6.25   Hóa học:   6.50   Sinh học:   6.50   KHTN: 6.42   Tiếng Anh:   5.00   
01000037,Ngữ văn:   8.50   Lịch sử:   9.25   Địa lí:   9.25   
01000038,Toán:   7.80   Ngữ văn:   8.00   Vật lí:   7.75   Hóa học:   7.25   Sinh học:   7.75   KHTN: 7.58   Tiếng Anh:   9.20   
01000039,Toán:   5.80   Ngữ văn:   9.25   Lịch sử:   6.00   Địa lí:   7.00   GDCD:   9.25   KHXH: 7.42   
01000040,Toán:   7.20   Ngữ văn:   8.00   Lịch sử:   5.25   Địa lí:   6.50   GDCD:   9.00   KHXH: 6.92   Tiếng Anh:   8.60   
01000041,Toán:   8.60   Ngữ văn:   7.75   Vật lí:   6.00   Hóa học:   8.50   Sinh học:   8.75   KHTN: 7.75   Tiếng Anh:   9.40   
01000042,Toán:   7.60   Ngữ văn:   9.50   Lịch sử:   6.75   Địa lí:   5.25   GDCD:   8.25   KHXH: 6.75   Tiếng Anh:   7.40   
01000043,Toán:   7.00   Ngữ văn:   8.00   Lịch sử:   7.25   Địa lí:   5.25   GDCD:   8.25   KHXH: 6.92   Tiếng Anh:   7.60   
01000044,Toán:   7.60   Ngữ văn:   6.50   Vật lí:   7.25   Hóa học:   8.50   Sinh học:   5.50   KHTN: 7.08   Tiếng Anh:   6.20   
01000045,Toán:   3.80   Ngữ văn:   7.50   Lịch sử:   6.50   Địa lí:   5.50   GDCD:   8.25   KHXH: 6.75   Tiếng Anh:   4.20   
01000046,Toán:   7.80   Ngữ văn:   4.00   Vật lí:   6.75   Hóa học:   7.50   Sinh học:   6.50   KHTN: 6.92   Tiếng Anh:   9.40   
01000047,Toán:   8.60   Ngữ văn:   7.00   Vật lí:   7.75   Hóa học:   5.50   Sinh học:   4.00   KHTN: 5.75   Tiếng Anh:   8.60   
01000048,Toán:   5.40   Ngữ văn:   8.00   Lịch sử:   4.00   Địa lí:   5.25   GDCD:   7.00   KHXH: 5.42   Tiếng Anh:   7.40   
01000049,Toán:   7.80   Ngữ văn:   8.75   Lịch sử:   7.25   Địa lí:   5.50   GDCD:   9.00   KHXH: 7.25   Tiếng Anh:   8.00   
01000050,Toán:   8.60   Ngữ văn:   8.50   Lịch sử:   6.75   Địa lí:   5.75   GDCD:   8.25   KHXH: 6.92   Tiếng Anh:   8.20   
01000051,Toán:   8.60   Ngữ văn:   8.75   Lịch sử:   7.25   Địa lí:   6.50   GDCD:   8.75   KHXH: 7.5   Tiếng Anh:   9.40   
01000052,Toán:   7.40   Ngữ văn:   9.00   Lịch sử:   6.75   Địa lí:   6.75   GDCD:   9.00   KHXH: 7.5   Tiếng Anh:   8.20   
01000053,Toán:   8.20   Ngữ văn:   8.50   Lịch sử:   4.50   Địa lí:   6.50   GDCD:   9.75   KHXH: 6.92   Tiếng Anh:   8.80   
01000054,Ngữ văn:   6.25   Lịch sử:   5.75   Địa lí:   6.25   
01000055,Toán:   7.00   Ngữ văn:   8.25   Lịch sử:   8.00   Địa lí:   7.50   GDCD:   9.75   KHXH: 8.42   Tiếng Anh:   7.00   
01000056,Toán:   6.00   Ngữ văn:   8.00   Lịch sử:   6.75   Địa lí:   5.25   GDCD:   8.25   KHXH: 6.75   Tiếng Anh:   7.40   
01000057,Toán:   7.60   Ngữ văn:   9.25   Lịch sử:   6.25   Địa lí:   6.00   GDCD:   9.25   KHXH: 7.17   Tiếng Anh:   9.00   
01000058,Toán:   7.80   Ngữ văn:   5.50   Vật lí:   6.75   Hóa học:   8.00   Sinh học:   4.75   KHTN: 6.5   Tiếng Anh:   7.40   
01000059,Toán:   8.20   Ngữ văn:   8.00   Vật lí:   6.75   Hóa học:   5.50   Sinh học:   8.25   KHTN: 6.83   Tiếng Anh:   8.80   
01000060,Toán:   6.00   Ngữ văn:   7.50   Lịch sử:   5.50   Địa lí:   5.50   GDCD:   6.50   KHXH: 5.83   Tiếng Anh:   8.00   
01000061,Ngữ văn:   6.75   Lịch sử:   7.75   Địa lí:   7.25   
01000062,Toán:   6.40   Ngữ văn:   4.00   Tiếng Anh:   5.40   
01000063,Toán:   7.40   Ngữ văn:   7.75   Vật lí:   6.25   Hóa học:   5.00   Sinh học:   4.75   KHTN: 5.33   Tiếng Anh:   9.00   
01000064,Toán:   7.80   Ngữ văn:   7.75   Lịch sử:   7.00   Địa lí:   5.00   GDCD:   7.75   KHXH: 6.58   Tiếng Anh:   9.20   
01000065,Toán:   8.20   Ngữ văn:   6.50   Vật lí:   7.00   Hóa học:   1.75   Sinh học:   3.50   KHTN: 4.08   Tiếng Anh:   8.80   
01000066,Toán:   7.20   Ngữ văn:   6.50   Lịch sử:   3.50   Địa lí:   4.00   
01000067,Toán:   8.00   Ngữ văn:   9.50   Lịch sử:   6.50   Địa lí:   6.25   GDCD:   7.75   KHXH: 6.83   Tiếng Anh:   8.80   
01000068,Toán:   8.40   Ngữ văn:   9.00   Lịch sử:   8.25   Địa lí:   7.75   GDCD:  10.00   KHXH: 8.67   Tiếng Trung:   9.60   
01000069,Toán:   7.60   Ngữ văn:   9.00   Lịch sử:   7.25   Địa lí:   6.75   GDCD:   9.50   KHXH: 7.83   Tiếng Anh:   9.60   
01000070,Toán:   8.60   Ngữ văn:   8.50   Lịch sử:   5.25   Địa lí:   7.75   GDCD:   8.50   KHXH: 7.17   Tiếng Anh:   8.20   
01000071,Toán:   8.20   Ngữ văn:   9.00   Lịch sử:   5.50   Địa lí:   6.25   GDCD:   9.00   KHXH: 6.92   Tiếng Hàn:   9.00   
01000072,Toán:   7.00   Ngữ văn:   5.50   Vật lí:   7.25   Hóa học:   4.75   Sinh học:   6.50   KHTN: 6.17   Tiếng Anh:   9.80   
01000073,Toán:   7.40   Ngữ văn:   7.75   Lịch sử:   6.00   Địa lí:   7.00   GDCD:   8.00   KHXH: 7   Tiếng Anh:   5.60   
01000074,Toán:   8.00   Ngữ văn:   9.00   Lịch sử:   6.25   Địa lí:   5.75   GDCD:   7.75   KHXH: 6.58   Tiếng Anh:   8.00   
01000075,Toán:   7.80   Ngữ văn:   8.50   Vật lí:   8.00   Hóa học:   5.25   Sinh học:   6.00   KHTN: 6.42   Tiếng Anh:   9.20   
01000076,Toán:   8.20   Ngữ văn:   8.00   Vật lí:   7.00   Hóa học:   8.50   Sinh học:   8.25   KHTN: 7.92   Tiếng Anh:   8.60   
01000077,Toán:   6.60   Ngữ văn:   7.75   Lịch sử:   5.75   Địa lí:   5.50   GDCD:   7.25   KHXH: 6.17   Tiếng Anh:   6.20   
01000078,Toán:   3.40   Ngữ văn:   6.50   Lịch sử:   4.25   Địa lí:   6.25   
01000079,Toán:   6.00   Ngữ văn:   8.75   Lịch sử:   8.00   Địa lí:   6.00   GDCD:   8.00   KHXH: 7.33   Tiếng Anh:   6.80   
01000080,Toán:   7.60   Ngữ văn:   8.25   Vật lí:   7.75   Hóa học:   7.25   Sinh học:   7.75   KHTN: 7.58   Tiếng Anh:   8.40   
01000081,Toán:   7.60   Ngữ văn:   8.75   Lịch sử:   7.25   Địa lí:   5.50   GDCD:   8.50   KHXH: 7.08   Tiếng Anh:   8.40   
01000082,Toán:   9.20   Ngữ văn:   8.75   Vật lí:   7.75   Hóa học:   7.00   Sinh học:   8.00   KHTN: 7.58   Tiếng Anh:   9.20   
01000083,Toán:   8.20   Ngữ văn:   9.00   Lịch sử:   7.75   Địa lí:   7.75   GDCD:   9.50   KHXH: 8.33   Tiếng Anh:   9.60   
01000084,Toán:   7.60   Ngữ văn:   9.50   Lịch sử:   7.00   Địa lí:   6.50   GDCD:   8.50   KHXH: 7.33   Tiếng Anh:   8.00   
01000085,Ngữ văn:   5.50   Lịch sử:   3.00   Địa lí:   6.00   
01000086,Ngữ văn:   6.00   Lịch sử:   7.00   Địa lí:   6.25   
01000087,Toán:   6.80   Ngữ văn:   6.25   Lịch sử:   4.25   Địa lí:   5.00   GDCD:   8.00   KHXH: 5.75   Tiếng Anh:   7.60   
01000088,Toán:   6.20   Ngữ văn:   8.50   Tiếng Trung:   6.60   
01000089,Toán:   8.20   Ngữ văn:   8.75   Lịch sử:   7.75   Địa lí:   7.00   GDCD:   9.50   KHXH: 8.08   Tiếng Anh:   9.40   
01000090,Toán:   7.00   Ngữ văn:   8.50   Lịch sử:   4.75   Địa lí:   5.25   GDCD:   8.25   KHXH: 6.08   Tiếng Anh:   7.00   
01000091,Toán:   6.60   Ngữ văn:   8.50   Lịch sử:   6.50   Địa lí:   4.25   GDCD:   9.00   KHXH: 6.58   Tiếng Anh:   8.40   
01000092,Toán:   7.80   Ngữ văn:   8.50   Lịch sử:   5.25   Địa lí:   6.25   GDCD:   9.00   KHXH: 6.83   Tiếng Anh:   9.00   
01000093,Toán:   2.40   Ngữ văn:   6.25   Lịch sử:   4.25   Địa lí:   4.50   
01000094,Toán:   7.60   Ngữ văn:   9.00   Lịch sử:   7.25   Địa lí:   6.50   GDCD:   9.25   KHXH: 7.67   Tiếng Anh:   9.20   
01000095,Toán:   8.20   Ngữ văn:   9.50   Lịch sử:   6.50   Địa lí:   7.00   GDCD:   9.00   KHXH: 7.5   Tiếng Anh:   8.60   
01000096,Toán:   8.00   Ngữ văn:   9.25   Lịch sử:   6.00   Địa lí:   7.25   GDCD:   8.25   KHXH: 7.17   Tiếng Anh:   7.40   
01000097,Toán:   8.40   Ngữ văn:   8.25   Lịch sử:   7.25   Địa lí:   8.00   GDCD:   9.25   KHXH: 8.17   Tiếng Anh:   9.60   
01000098,Toán:   8.20   Ngữ văn:   9.25   Lịch sử:   7.50   Địa lí:   6.75   GDCD:   8.75   KHXH: 7.67   Tiếng Anh:   9.40   
01000099,Toán:   8.60   Ngữ văn:   9.50   Lịch sử:   7.00   Địa lí:   8.00   GDCD:   9.25   KHXH: 8.08   Tiếng Anh:   9.20   
01000100,Toán:   7.00   Ngữ văn:   9.25   Lịch sử:   7.00   Địa lí:   6.25   GDCD:   9.75   KHXH: 7.67   Tiếng Anh:   8.80   
01000101,Toán:   6.60   Ngữ văn:   8.25   Lịch sử:   7.25   Địa lí:   6.75   GDCD:   9.75   KHXH: 7.92   Tiếng Anh:   8.00   
01000102,Toán:   6.80   Ngữ văn:   9.00   Lịch sử:   4.25   Địa lí:   5.50   GDCD:   7.50   KHXH: 5.75   Tiếng Anh:   6.80   
01000103,Toán:   8.00   Ngữ văn:   9.00   Lịch sử:   7.75   Địa lí:   6.75   GDCD:   8.50   KHXH: 7.67   Tiếng Anh:   9.00   
01000104,Toán:   3.00   Ngữ văn:   3.25   Lịch sử:   4.50   Địa lí:   4.75   
01000105,Toán:   7.60   Ngữ văn:   8.50   Lịch sử:   6.00   Địa lí:   5.75   GDCD:   9.50   KHXH: 7.08   Tiếng Anh:   6.60   
01000106,Toán:   4.40   Ngữ văn:   6.50   Lịch sử:   6.75   Địa lí:   6.25   
01000107,Toán:   6.80   Ngữ văn:   8.25   Lịch sử:   4.25   Địa lí:   6.75   GDCD:   7.75   KHXH: 6.25   Tiếng Anh:   6.60   
01000108,Toán:   7.60   Ngữ văn:   8.50   Vật lí:   6.75   Hóa học:   8.25   Sinh học:   5.50   KHTN: 6.83   Tiếng Anh:   8.00   
01000109,Toán:   6.60   Ngữ văn:   8.75   Lịch sử:   4.50   Địa lí:   6.00   GDCD:   9.25   KHXH: 6.58   Tiếng Anh:   5.80   
01000110,Toán:   8.40   Vật lí:   7.50   Tiếng Anh:   8.00   
01000111,Toán:   3.60   Ngữ văn:   4.50   Lịch sử:   4.50   Địa lí:   5.25   
01000112,Toán:   7.40   Ngữ văn:   9.25   Lịch sử:   4.25   Địa lí:   6.00   GDCD:   7.50   KHXH: 5.92   Tiếng Anh:   7.20   
01000113,Toán:   8.20   Ngữ văn:   6.50   Vật lí:   7.50   Hóa học:   8.00   Sinh học:   6.25   KHTN: 7.25   Tiếng Anh:   6.80   
01000114,Toán:   5.20   Ngữ văn:   8.75   Lịch sử:   8.25   Địa lí:   7.50   GDCD:   8.00   KHXH: 7.92   Tiếng Anh:   7.20   
